SourceNomenCode,DestNomenCode,ReporterISO3,TradeFlow,ProductCode,TradeValue,Quantity,QuantityToken,NetWeight,PartnerISO3,Year
H0,GP,GRC,2,29,540.201,14442,8,14442,SWE,1988
H0,GP,GRC,2,3,6922.286,2.78E+07,8,2.78E+07,GBR,1988
H0,GP,GRC,2,23,0.501,1000,8,1000,YUG,1988
H0,GP,JPN,2,33,1204172.54,1.62E+08,8,1.62E+08,DDR,1988
H0,GP,DDR,2,34,27211,1.43E+07,8,1.43E+07,HUN,1988
H0,GP,JPN,2,40,10213.33,196363,8,196363,OMN,1988
H0,GP,JPN,2,31,13.691,1435,5,,ANT,1988
H0,GP,JPN,2,28,15.095,252,8,252,PAK,1988
H0,GP,DDR,2,35,5755,5071043,8,5071043,CHL,1988
H0,GP,DDR,2,33,239132,7.77E+07,8,7.77E+07,SAU,1988
H0,GP,DDR,2,33,388886,1.32E+08,8,1.32E+08,CAN,1988
H0,GP,DDR,2,35,2548,2044038,8,2044038,ZAR,1988
H0,GP,JPN,2,38,4684.959,587,5,,SUR,1988
H0,GP,DDR,2,42,35,3692,8,3692,GMB,1988
H0,GP,JPN,2,37,277.783,378939,5,,FIN,1988
H0,GP,JPN,2,31,2260.158,532487,5,,BLX,1988
H0,GP,DDR,2,38,1782,120041,8,120041,JAM,1988
H0,GP,DDR,2,38,331436,2.72E+07,8,2.72E+07,ZAF,1988
H0,GP,JPN,2,37,1201.86,6.82E+07,5,,THA,1988
H0,GP,DDR,2,34,10,2731,8,2731,BLZ,1988
H0,GP,DDR,2,39,23,1450,8,1450,GIN,1988
H0,GP,DDR,2,5,326,504822,8,504822,NOR,1988
H0,GP,DDR,2,30,60,7534,8,7534,NER,1988
H0,GP,JPN,2,39,180.083,211,5,,DJI,1988
H0,GP,JPN,2,34,1356.624,121758,8,121758,IRL,1988
H0,GP,FIN,2,37,8924.865,652187,8,652187,PRT,1988
H0,GP,JPN,2,40,6789.485,77363,8,77363,LKA,1988
H0,GP,JPN,2,25,786.399,537860,7,110083,OAS,1988
H0,GP,JPN,2,13,10.256,1965,7,1375,USA,1988
H0,GP,DDR,2,38,75,3671,8,3671,LAO,1988
H0,GP,FIN,2,34,7.26,464,8,464,COL,1988
H0,GP,FIN,2,37,20.561,3034,8,3034,FRO,1988
H0,GP,DDR,2,8,25,15238,8,15238,ALB,1988
H0,GP,FIN,2,31,1442.177,3276138,8,3276138,HND,1988
H0,GP,FIN,2,29,37280.617,1910219,8,1910219,SWE,1988
H0,GP,JPN,2,38,5617.776,585581,8,585581,HND,1988
H0,GP,FIN,2,30,6.885,34296,7,24000,MLT,1988
H0,GP,DDR,2,34,7,5670,8,5670,COM,1988
H0,GP,DDR,2,32,584,420722,8,420722,ARE,1988
H0,GP,DDR,2,22,7370,4915198,8,4915198,CHN,1988
H0,GP,DDR,2,13,541,130107,8,130107,MEX,1988
H0,GP,JPN,2,14,14.44,1500,8,1500,PRT,1988
H0,GP,JPN,2,4,401.058,141771,8,141771,USP,1988
H0,GP,JPN,2,39,15140.656,633182,8,633182,CAN,1988
H0,GP,DDR,2,23,181,329125,8,329125,NOR,1988
H0,GP,PRT,2,34,2029.774,1381974,8,1381974,AUT,1988
H0,GP,PRT,2,41,353.278,89872,8,89872,COG,1988
H0,GP,JPN,2,18,88.586,20000,8,20000,DZA,1988
H0,GP,PRT,2,26,2269.89,2830488,7,2826564,MOZ,1988
H0,GP,PRT,2,33,25165.401,2.02E+08,7,1.48E+08,NLD,1988
H0,GP,PRT,2,26,5214.841,2819172,7,2819172,SWE,1988
H0,GP,DDR,2,29,2,139,8,139,BGD,1988
H0,GP,AUS,2,41,2.659,0,-1,,KWT,1988
H0,GP,AUS,2,25,12.349,19434,7,19434,BRN,1988
H0,GP,AUS,2,33,9.391,9284,7,7625,VUT,1988
H0,GP,AUS,2,26,78.169,88518,7,88518,IND,1988
H0,GP,AUS,2,37,21.005,530,8,530,ARG,1988
H0,GP,AUS,2,37,14.339,156,8,156,CRI,1988
H0,GP,AUS,2,42,9.181,242,8,242,IRL,1988
H0,GP,AUS,2,4,1286.719,1530554,8,1530554,NOR,1988
H0,GP,AUS,2,21,2.33,2807,8,2807,COK,1988
H0,GP,JPN,2,30,3.902,406,8,406,SLE,1988
H0,GP,DDR,2,30,17,7390,7,5171,NZL,1988
H0,GP,DDR,2,26,2,1125,7,1125,BRN,1988
H0,GP,DDR,2,32,21758,1.33E+08,7,1.32E+08,DNK,1988
H0,GP,DDR,2,34,14,3247,7,3375,ZAF,1988
